,n,gen_period,ps,p,successful,total,successful_0,total_0,successful_1,total_1,successful_2,total_2,successful_3,total_3,successful_4,total_4,successful_5,total_5,successful_6,total_6,successful_7,total_7,successful_8,total_8,successful_9,total_9,successful_10,total_10,successful_11,total_11,successful_12,total_12,successful_13,total_13,successful_14,total_14,successful_15,total_15,successful_16,total_16,successful_17,total_17,successful_18,total_18,successful_19,total_19,successful_20,total_20,successful_21,total_21,successful_22,total_22,successful_23,total_23,successful_24,total_24,successful_25,total_25,successful_26,total_26,successful_27,total_27,successful_28,total_28,successful_29,total_29,successful_30,total_30,successful_31,total_31,successful_32,total_32,successful_33,total_33,successful_34,total_34,successful_35,total_35,successful_36,total_36,successful_37,total_37,successful_38,total_38,successful_39,total_39,successful_40,total_40,successful_41,total_41,successful_42,total_42,successful_43,total_43,successful_44,total_44,successful_45,total_45,successful_46,total_46,successful_47,total_47,successful_48,total_48,successful_49,total_49,successful_50,total_50,successful_51,total_51,successful_52,total_52,successful_53,total_53,successful_54,total_54,successful_55,total_55,successful_56,total_56,successful_57,total_57,successful_58,total_58,successful_59,total_59,successful_60,total_60,successful_61,total_61,successful_62,total_62,successful_63,total_63,successful_64,total_64,successful_65,total_65,successful_66,total_66,successful_67,total_67,successful_68,total_68,successful_69,total_69,successful_70,total_70,successful_71,total_71,successful_72,total_72,successful_73,total_73,successful_74,total_74,successful_75,total_75,successful_76,total_76,successful_77,total_77,successful_78,total_78,successful_79,total_79,successful_80,total_80,successful_81,total_81,successful_82,total_82,successful_83,total_83,successful_84,total_84,successful_85,total_85,successful_86,total_86,successful_87,total_87,successful_88,total_88,successful_89,total_89,successful_90,total_90,successful_91,total_91,successful_92,total_92,successful_93,total_93,successful_94,total_94,successful_95,total_95,successful_96,total_96,successful_97,total_97,successful_98,total_98,successful_99,total_99
0,2,5,1,1.0,3992.3999999999996,4000.0,1992.6,2000.0,1999.8,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,5,1,0.9,3996.8,4000.0,2000.0,2000.0,1996.8,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,5,1,0.75,3997.8,4000.0,1998.6,2000.0,1999.2,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,5,1,0.5,3997.4,4000.0,1999.0,2000.0,1998.4,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,5,1,0.2,3996.8,4000.0,1999.8,2000.0,1997.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,5,1,0.1,3993.8,4000.0,1997.8,2000.0,1996.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,5,1,0.01,3955.6000000000004,4000.0,1984.2,2000.0,1971.4,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,5,1,0.001,3352.6,4000.0,1690.0,2000.0,1662.6,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,10,1,1.0,2000.2,2000.0,1000.2,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,10,1,0.9,1999.2,2000.0,1000.0,1000.0,999.2,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
